survived,age,sex,pclass
0,22.0,M,3
1,38.0,F,1
1,26.0,F,3
1,35.0,F,1
0,35.0,M,3
0,54.0,M,1
0,2.0,M,3
1,27.0,F,3
1,14.0,F,2
1,4.0,F,3
1,58.0,F,1
0,20.0,M,3
0,39.0,M,3
0,14.0,F,3
1,55.0,F,2
0,2.0,M,3
0,31.0,F,3
0,35.0,M,2
1,34.0,M,2
1,15.0,F,3
1,28.0,M,1
0,8.0,F,3
1,38.0,F,3
0,19.0,M,1
0,40.0,M,1
0,66.0,M,2
0,28.0,M,1
0,42.0,M,1
0,21.0,M,3
0,18.0,F,3
1,14.0,F,3
0,40.0,F,3
0,27.0,F,2
1,3.0,F,2
1,19.0,F,3
0,18.0,F,3
0,7.0,M,3
0,21.0,M,3
1,49.0,F,1
1,29.0,F,2
0,65.0,M,1
1,21.0,F,2
0,28.5,M,3
1,5.0,F,2
0,11.0,M,3
0,22.0,M,3
1,38.0,F,1
0,45.0,M,1
0,4.0,M,3
1,29.0,F,2
0,19.0,M,3
1,17.0,F,3
0,26.0,M,3
0,32.0,M,2
0,16.0,F,3
0,21.0,M,2
0,26.0,M,3
1,32.0,M,3
0,25.0,M,3
1,0.83,M,2
1,30.0,F,3
0,22.0,M,3
1,29.0,M,3
0,28.0,M,1
1,17.0,F,2
1,33.0,F,3
0,16.0,M,3
1,23.0,F,1
0,24.0,M,3
0,29.0,M,3
0,20.0,M,3
0,46.0,M,1
0,26.0,M,3
0,59.0,M,3
0,71.0,M,1
1,23.0,M,1
1,34.0,F,2
0,34.0,M,2
0,28.0,F,3
0,21.0,M,1
0,33.0,M,3
0,37.0,M,3
0,28.0,M,3
1,21.0,F,3
0,38.0,M,3
0,47.0,M,1
0,14.5,F,3
0,22.0,M,3
0,20.0,F,3
0,17.0,F,3
0,21.0,M,3
0,70.5,M,3
0,29.0,M,2
0,24.0,M,1
0,2.0,F,3
0,21.0,M,2
0,32.5,M,2
1,32.5,F,2
0,54.0,M,1
1,12.0,M,3
1,24.0,M,3
0,45.0,M,3
0,33.0,M,3
0,20.0,M,3
0,47.0,F,3
1,29.0,F,2
0,25.0,M,2
0,23.0,M,2
1,19.0,F,1
0,37.0,M,1
0,16.0,M,3
0,24.0,M,1
1,22.0,F,3
1,24.0,F,3
0,19.0,M,3
0,18.0,M,2
