caseid,sex,age,weight,height
9,M,27.6,55.5,168.9
10,F,19.5,34.9,148.0
15,F,21.1,48.4,150.5
20,M,13.1,23.2,127.6
21,F,8.8,15.8,110.2
22,F,5.1,12.1,92.1
24,F,29.5,49.0,157.5
25,M,13.4,26.8,136.2
26,F,7.8,17.2,117.5
29,F,19.8,34.4,146.7
30,M,17.8,31.9,141.6
31,F,16.8,26.1,131.7
32,M,11.5,19.2,118.1
33,M,29.5,40.3,148.0
34,M,29.5,55.1,161.9
35,F,24.5,37.5,146.0
39,F,27.5,38.8,142.9
42,M,24.6,50.9,161.3
47,F,19.5,49.9,148.0
48,F,18.0,37.2,148.6
49,M,8.8,24.0,127.6
51,F,12.8,30.4,137.2
52,F,5.7,13.3,97.8
55,M,19.8,42.4,146.7
56,F,17.8,44.7,157.5
57,M,14.1,24.3,129.5
58,F,10.1,18.5,115.2
59,F,5.7,15.2,106.0
69,F,20.7,44.1,158.8
75,F,25.4,47.6,154.3
78,F,23.5,45.6,145.4
85,F,27.8,37.2,144.1
86,M,13.4,24.6,129.5
87,F,6.8,15.8,105.4
90,F,14.9,27.4,132.1
92,F,17.5,40.1,146.0
97,F,12.4,29.6,146.0
98,M,29.3,47.2,167.0
99,F,24.3,49.6,149.9
100,M,4.4,15.5,102.2
103,F,17.8,41.9,148.0
104,F,12.2,27.6,137.8
105,F,22.8,47.2,154.9
106,M,28.6,43.2,161.0
110,M,6.4,17.5,113.7
119,M,23.2,55.7,179.1
121,F,13.4,26.1,127.0
122,F,8.6,18.8,118.7
124,F,23.5,42.8,146.0
126,M,5.8,17.9,113.0
130,M,12.8,27.4,134.0
142,F,16.4,38.7,154.9
143,M,11.4,17.9,116.8
144,M,6.8,16.5,111.8
146,F,28.3,41.1,152.4
147,F,11.3,18.3,124.5
148,M,9.5,17.0,115.6
149,M,2.9,11.5,86.4
154,M,29.2,54.9,160.7
160,M,0.4,9.8,74.3
166,M,4.2,13.1,96.5
167,M,29.5,41.7,161.9
170,F,27.6,42.2,149.2
171,F,9.1,22.8,123.4
172,M,6.4,16.6,104.1
175,M,22.5,53.1,163.2
184,M,15.8,29.3,141.6
191,F,3.4,11.7,91.4
197,M,17.7,38.1,150.5
198,F,12.9,22.0,129.5
199,F,24.1,38.0,147.6
201,F,29.4,42.1,145.4
202,F,8.8,19.8,121.9
203,M,5.4,16.8,113.7
206,F,12.8,21.2,120.6
207,M,7.4,18.9,115.6
212,F,27.5,40.9,152.4
215,F,3.4,13.3,96.5
217,M,25.5,51.2,160.0
230,M,29.5,49.0,159.4
233,M,26.8,54.1,160.7
237,F,11.8,22.4,125.1
239,M,26.8,49.7,154.9
242,F,24.8,44.3,141.6
245,F,22.5,43.1,149.2
246,F,24.4,51.5,155.6
247,F,6.8,12.8,103.5
248,F,4.4,13.0,94.6
250,F,21.8,44.1,156.2
259,F,26.8,42.1,155.6
263,M,22.5,61.8,172.7
266,M,19.5,31.5,141.6
267,F,17.5,32.2,142.9
268,F,14.5,23.8,133.4
269,M,9.8,24.4,127.6
270,F,7.4,21.5,119.4
279,F,18.2,39.0,149.9
281,F,6.4,13.1,102.2
286,M,7.4,18.3,114.3
287,M,4.4,13.7,101.0
289,F,23.5,39.1,138.4
291,M,4.4,12.5,91.4
301,F,29.8,44.3,156.2
304,F,18.5,32.2,145.4
306,F,14.7,22.5,131.4
307,M,19.9,44.3,158.1
310,F,25.8,41.3,154.3
311,M,6.6,17.6,108.0
314,F,16.8,44.7,148.0
315,M,5.4,14.4,101.0
316,M,9.4,19.1,113.0
318,M,28.5,45.2,154.9
322,M,8.8,20.8,123.2
331,F,18.8,42.1,149.2
332,F,11.4,18.8,113.0
340,F,16.9,43.3,158.1
341,F,13.5,30.3,141.0
343,F,10.6,20.5,114.3
347,M,11.1,21.4,121.9
349,F,29.8,38.0,144.8
350,F,9.1,16.0,109.5
358,F,24.5,46.7,157.5
361,M,17.8,46.4,160.0
369,F,5.4,14.1,97.8
371,F,26.8,41.3,149.2
372,F,5.8,15.2,105.4
373,F,21.5,44.8,146.0
377,M,15.8,38.9,146.7
379,M,28.5,58.5,170.8
381,F,12.8,22.8,129.5
389,F,15.7,26.3,132.7
391,F,22.1,32.8,142.1
393,M,19.4,49.6,162.6
398,M,26.4,44.0,151.1
399,F,17.1,33.8,148.0
400,F,13.7,22.7,127.0
401,F,9.1,17.9,114.9
405,F,26.2,48.1,154.9
407,M,16.4,34.8,143.5
408,F,13.5,27.9,128.9
410,F,5.9,13.1,97.2
411,F,17.7,43.1,148.6
416,F,16.1,26.6,134.6
417,F,5.7,17.8,108.6
418,F,18.4,49.2,157.5
420,F,27.4,43.5,150.5
421,M,8.1,17.8,111.8
427,M,24.8,59.6,160.0
428,M,16.7,46.3,154.9
432,F,27.4,54.6,160.0
434,M,4.1,14.5,97.8
435,M,2.5,13.3,87.0
436,F,2.1,8.3,75.6
437,M,3.4,12.1,92.7
438,F,7.1,18.3,111.1
439,F,5.4,11.4,90.8
443,F,27.8,41.3,153.7
444,F,5.8,16.2,99.7
447,F,0.2,6.8,62.5
449,M,2.8,11.9,81.9
450,F,2.8,15.0,96.5
452,M,2.1,11.2,82.2
457,M,12.8,28.9,140.6
459,F,2.8,12.8,88.3
465,F,9.4,20.6,123.8
466,F,6.2,15.9,104.1
469,F,7.2,17.1,97.2
470,M,5.8,13.2,93.3
471,M,24.2,48.5,160.7
486,F,5.3,12.9,91.4
488,M,-0.0,5.7,60.5
490,M,14.3,28.9,137.2
496,F,21.5,43.4,152.4
498,M,1.8,11.5,81.3
500,M,1.2,7.5,71.1
504,F,3.4,12.7,89.2
505,F,1.1,7.2,67.3
506,M,1.8,12.4,85.1
507,M,1.5,8.3,72.7
514,M,3.8,12.6,88.9
515,M,4.1,13.1,94.9
516,F,2.1,8.2,73.7
517,F,2.1,10.2,84.5
518,M,28.8,47.2,159.4
519,F,16.9,32.4,148.0
522,M,12.5,20.6,125.7
523,M,1.8,8.5,74.9
524,F,1.4,8.3,74.3
525,F,3.8,11.6,90.8
527,F,0.2,8.0,67.9
528,F,15.8,30.6,141.6
538,M,3.4,11.7,88.3
539,F,3.2,14.0,93.3
541,F,21.5,45.5,155.6
544,F,13.8,20.6,124.5
545,M,8.8,19.2,116.8
546,M,3.8,12.9,88.9
548,F,29.5,43.9,156.2
549,M,11.5,27.5,136.0
550,M,6.7,19.1,114.3
